downloaded_at,species_latin,recording_id,source_url,download_url,target_path,status,bytes,message
2026-05-24T11:01:39,Gryllus campestris,1095679,https://xeno-canto.org/1095679,https://xeno-canto.org/1095679/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/gryllus-campestris/XC1095679-G-campestris-n09_Chanteix-19_250505_2221_0873S1+++.wav,downloaded,13166948,
2026-05-24T11:01:42,Gryllus campestris,1095677,https://xeno-canto.org/1095677,https://xeno-canto.org/1095677/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/gryllus-campestris/XC1095677-G-campestris-d28_Chanteix-19_250617_1747_0875S1+++.wav,downloaded,13826368,
2026-05-24T11:01:46,Gryllus campestris,1095678,https://xeno-canto.org/1095678,https://xeno-canto.org/1095678/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/gryllus-campestris/XC1095678-G-campestris-d28_Chanteix-19_250617_1749_0876S1+++.wav,downloaded,14215288,
2026-05-24T11:01:49,Gryllus campestris,967464,https://xeno-canto.org/967464,https://xeno-canto.org/967464/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/gryllus-campestris/XC967464-G-campestris-d27_Hontoria-de-la-Cantera-ES-BU_2023-06-27_19_14_28_M00006++.wav,downloaded,13261052,
2026-05-24T11:01:52,Gryllus campestris,967462,https://xeno-canto.org/967462,https://xeno-canto.org/967462/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/gryllus-campestris/XC967462-G-campestris-d27_Chasteaux-19_20210530_170117++.wav,downloaded,14889004,
2026-05-24T11:01:56,Gryllus campestris,849988,https://xeno-canto.org/849988,https://xeno-canto.org/849988/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/gryllus-campestris/XC849988-NoID_20230725_162808.wav,downloaded,16478836,
2026-05-24T11:01:59,Gryllus campestris,849987,https://xeno-canto.org/849987,https://xeno-canto.org/849987/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/gryllus-campestris/XC849987-NoID_20230725_162743.wav,downloaded,17383020,
2026-05-24T11:02:03,Gryllus campestris,967477,https://xeno-canto.org/967477,https://xeno-canto.org/967477/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/gryllus-campestris/XC967477-G-campestris-n12_Chanteix-19_2020-05-03_23_20_40_M00004++.wav,downloaded,18866614,
2026-05-24T11:02:08,Gryllus campestris,967460,https://xeno-canto.org/967460,https://xeno-canto.org/967460/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/gryllus-campestris/XC967460-G-campestris-d25_Chasteaux-19_20210530_123434++.wav,downloaded,24469548,
2026-05-24T11:02:14,Gryllus campestris,967480,https://xeno-canto.org/967480,https://xeno-canto.org/967480/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/gryllus-campestris/XC967480-G-campestris-n13_Chanteix-19_2020-06-14_23_00_12_M00014++.wav,downloaded,24133558,
2026-05-24T11:02:18,Gryllus campestris,967461,https://xeno-canto.org/967461,https://xeno-canto.org/967461/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/gryllus-campestris/XC967461-G-campestris-d26_Cristinacce-2A_2022-07-06_20_07_04_M00036++.wav,downloaded,24830958,
2026-05-24T11:02:23,Gryllus campestris,967459,https://xeno-canto.org/967459,https://xeno-canto.org/967459/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/gryllus-campestris/XC967459-G-campestris-d24_Chanteix-19_2020-05-17_16_04_42_M00008++.wav,downloaded,25468846,
2026-05-24T11:02:29,Pholidoptera griseoaptera,968627,https://xeno-canto.org/968627,https://xeno-canto.org/968627/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/pholidoptera-griseoaptera/XC968627-P-griseoaptera-n11_Vigeois-19_20211015_213903+++.wav,downloaded,23021172,
2026-05-24T11:02:38,Pholidoptera griseoaptera,968607,https://xeno-canto.org/968607,https://xeno-canto.org/968607/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/pholidoptera-griseoaptera/XC968607-P-griseoaptera-c13_Chanteix-19_2019-09-23_20_51_05_M00003_cht-rivalite+++.wav,downloaded,53948716,
2026-05-24T11:02:39,Pholidoptera griseoaptera,847627,https://xeno-canto.org/847627,https://xeno-canto.org/847627/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/pholidoptera-griseoaptera/XC847627-BL20220723-04010002.wav,downloaded,1561206,
2026-05-24T11:02:39,Pholidoptera griseoaptera,847628,https://xeno-canto.org/847628,https://xeno-canto.org/847628/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/pholidoptera-griseoaptera/XC847628-BL20220723-04010003.wav,downloaded,1561206,
2026-05-24T11:02:40,Pholidoptera griseoaptera,847631,https://xeno-canto.org/847631,https://xeno-canto.org/847631/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/pholidoptera-griseoaptera/XC847631-BL20220723-04010006.wav,downloaded,1860310,
2026-05-24T11:02:41,Pholidoptera griseoaptera,847633,https://xeno-canto.org/847633,https://xeno-canto.org/847633/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/pholidoptera-griseoaptera/XC847633-BL20220723-04010008.wav,downloaded,1561206,
2026-05-24T11:02:41,Pholidoptera griseoaptera,847636,https://xeno-canto.org/847636,https://xeno-canto.org/847636/download,/Users/jchavauxm5/PKA_JCH/JCH_Inbox/03_PROJECTS/03_WILDNEXUS/06_COMPONENTS/BIOACOUSTIC/INSECTNET/03_AUDIO_DOWNLOADS/audio/pholidoptera-griseoaptera/XC847636-BL20220723-04010011.wav,downloaded,2294390,
